feature,rmse,nb_zeros,nunique
823ac378c,0.796808124572191,4161,170
01005e5de,0.7968129506068138,3810,332
236cc1ff5,0.7968252331327089,3877,172
f74e8f13d,0.7968514797864492,2965,647
241f0f867,0.7968798280937086,2998,666
fcc17a41d,0.7969137900770592,4219,91
2599a7eb7,0.7969246500745919,3998,271
acff85649,0.7969371681685855,4087,194
22abeffb6,0.7969497509740664,4131,151
251d1aa17,0.7969632482210645,3794,250
342e7eb03,0.7969851159263506,3747,375
1d04efde3,0.7969983700146156,3779,199
963a49cdc,0.7970118071296396,2988,597
9df4daa99,0.7970706676371346,3779,394
4d2671746,0.7971287407554917,3762,255
58232a6fb,0.7971638702275321,2974,674
ce3d7595b,0.7971657049050176,3735,323
57dd44c29,0.7971659737219942,3760,322
edc84139a,0.7971750849413408,3795,387
cd24eae8a,0.7971939873219306,3754,384
9e711a568,0.797208590634591,4199,108
b75aa754d,0.7972570054733974,4132,236
07c9d1f37,0.7973108552195132,4395,49
db3839ab0,0.7973356963015544,3703,328
f8cd9ae02,0.797381840316276,3778,208
83c3779bf,0.7973925958831418,3795,394
e222309b0,0.7974502172260548,3697,337
ad4e33a4c,0.7974523633436676,4188,94
50e4f96cf,0.797455481863365,3791,324
86875d9b0,0.7974865864072529,4109,248
cbb673163,0.7975065582127477,3591,308
aac52d8d9,0.7975410494725611,3748,339
a9f61cf27,0.7975622439004824,3895,275
1702b5bf0,0.7975692000580925,2959,684
95742c2bf,0.7975798280421696,3732,306
5ee81cb6e,0.797598022670634,4177,161
ff65215db,0.7975997039132597,3837,408
9280f3d04,0.7976015318224112,3755,348
b30e932ba,0.7976104166867545,3714,249
c8d582dd2,0.7976125567200002,3573,303
4681de4fd,0.7976190919784756,3940,236
4c60b70b8,0.7976251708776225,4179,171
348aedc21,0.7976312585031472,4119,243
bc56b26fd,0.7976539364765468,4266,103
46c525541,0.7976545007322406,4109,128
277ef93fc,0.7976696151721142,3714,254
f9e3b03b7,0.7976805507130544,3870,260
9306da53f,0.7977099646202269,3737,307
4b9540ab3,0.79771236643898,3781,232
d6af4ee1a,0.7977395034620612,4120,138
e803a2db0,0.7978126049442292,4302,114
08e89cc54,0.7978195783053162,4167,130
b9ba17eb6,0.7978275272823872,3868,270
190db8488,0.7978372182596665,2931,542
cdfc2b069,0.7978456029969827,3816,243
dcc269cfe,0.797860639506315,3809,282
23310aa6f,0.7978751032377208,2927,591
bee629024,0.7978787865711243,3752,215
899dbe405,0.7978885225440169,4146,172
6e29e9500,0.7979099943514321,4139,170
6c0e0801a,0.7979379861674841,3713,374
44d5b820f,0.7979467449111761,3668,317
6b795a2bc,0.7979488119697816,3775,233
7124d86d9,0.7979851954016437,4149,132
0c8063d63,0.7979914196990101,3812,363
eb19e8d63,0.7979930821015232,4136,222
9ed0e6ddb,0.7980946701135518,4245,103
2954498ae,0.7980992635328532,4071,187
2e103d632,0.7981018752167818,3721,360
8f57141ec,0.79811320225739,3694,256
cfc1ce276,0.7981283023643124,3782,302
ef1e1fac8,0.7981324502893659,4097,143
bdf773176,0.7981364907124053,3796,275
e078302ef,0.7981421592547846,3720,353
ead538d94,0.7981542431800637,4176,168
5d9f43278,0.7981553236617824,4250,107
5239ceb39,0.7981643696091595,4314,102
d6bb78916,0.7981754540212876,3022,672
0a26a3cfe,0.7981883584671107,4149,128
fb5a3097e,0.7981958521311764,3804,340
1fe5d56b9,0.7982050743742408,3650,323
13ee58af1,0.7982204420909932,3701,323
64e38e7a2,0.7982244110873845,4199,120
ed8ff54b5,0.7982295039077081,4380,52
6a542a40a,0.7982364712651626,4268,88
ea772e115,0.7982717321993039,3635,315
597d78667,0.7982844931522007,4216,92
c4255588c,0.7982911790785516,4236,124
39549da61,0.7983007579516398,4194,159
9abffd22c,0.7983076557987902,3944,222
8f3740670,0.798316044685578,3763,361
1d0aaa90f,0.7983181982865968,4120,148
acc4a8e68,0.7983210873844961,4122,168
f0eb7b98f,0.798346258902002,4251,95
467bee277,0.7983662731970074,3813,230
a75d400b8,0.7983745385542489,3856,436
d83a2b684,0.798379703910119,3806,400
e613715cc,0.7983861377717482,4095,130
30b3daec2,0.7983974463400825,3801,276
1c71183bb,0.7984031509683984,3738,349
041c5d0c9,0.7984377366801854,3730,343
86558e595,0.7984394295210919,3897,186
17be6c4e7,0.7984589737257033,4343,74
a31ba11e6,0.7984650113065822,4123,136
fb0f5dbfe,0.7984717783590669,2964,728
74d7f2dc3,0.7984862697691526,3723,245
3eefaafea,0.7984869465827472,4101,234
2b54cddfd,0.7985094965073904,3988,249
4fe8b17c2,0.7985097533249417,4064,195
472cd130b,0.7985161000918892,4203,96
8ab6f5695,0.7985176732949167,4119,164
0e3ef9e8f,0.7985253375045284,4151,192
57535b55a,0.7985411632986463,4069,192
f97d9431e,0.7985482289837409,3556,268
9f7b782ac,0.7985483694937733,3841,255
7a7da3079,0.7985575634404405,3765,327
37ac53919,0.798558124591714,4175,189
aa31dd768,0.7985644738077642,3959,262
3c4df440f,0.7985753175680087,4089,136
4933f2e67,0.7985756318423993,4130,205
e43343256,0.7985800615255841,4097,195
a396ceeb9,0.7985814027616375,3724,370
8bd53906a,0.79858256500697,3931,252
cc73678bf,0.7985901796805053,4300,92
22c019a2e,0.7985999550948818,4036,213
c4972742d,0.7986045219500393,3732,257
e75cfcc64,0.7986160516936143,4132,174
8c94e6a4b,0.7986276536377181,4358,69
b6daeae32,0.7986283573186644,3783,318
eb4a20186,0.798651803282498,4166,156
93a31829f,0.7986556416827728,4341,84
feeb05b3f,0.7986895227141299,4111,170
13bdd610a,0.7987142131302379,3705,290
375c6080e,0.798738416830034,4117,119
88ef1d9a8,0.7987470003610952,3876,195
cbeddb751,0.7987545931078418,4381,48
939f628a7,0.7987697798533684,3645,315
1977eaf08,0.7987725179812135,3766,223
1e6306c7c,0.798777909735608,3701,298
